Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,0.021678,0.038268,0.017354,0.030437,0.030437,304087350
2017-11-01,0.029127,0.146906,0.018210,0.119883,0.119883,832985508
2017-12-01,0.116622,0.777385,0.099136,0.719695,0.719695,5302134228
2018-01-01,0.718847,1.327210,0.440620,0.519315,0.519315,17091618144
2018-02-01,0.515912,0.535322,0.266523,0.312581,0.312581,12792129936
2018-03-01,0.311973,0.317723,0.127046,0.155919,0.155919,4703829784
2018-04-01,0.156597,0.387901,0.141343,0.343318,0.343318,7320876484
2018-05-01,0.342953,0.389749,0.174002,0.225214,0.225214,4809903016
2018-06-01,0.224533,0.236761,0.114674,0.137671,0.137671,2424286712
2018-07-01,0.138264,0.192930,0.123154,0.143297,0.143297,3252586700
2018-08-01,0.143086,0.145038,0.086951,0.102196,0.102196,1976704700
2018-09-01,0.101877,0.108901,0.061708,0.085195,0.085195,2231358800
2018-10-01,0.085292,0.088169,0.067883,0.069705,0.069705,907604000
2018-11-01,0.069698,0.081310,0.032798,0.038916,0.038916,960158511
2018-12-01,0.038991,0.049282,0.027393,0.041063,0.041063,902023730
2019-01-01,0.040984,0.054636,0.037044,0.038374,0.038374,865566271
2019-02-01,0.038441,0.050460,0.036060,0.043123,0.043123,571352412
2019-03-01,0.043112,0.073712,0.039830,0.069746,0.069746,1661006752
2019-04-01,0.069651,0.099958,0.064204,0.070346,0.070346,3134322049
2019-05-01,0.070338,0.100402,0.059106,0.089441,0.089441,3833326637
2019-06-01,0.089462,0.106910,0.077631,0.082098,0.082098,5382517625
2019-07-01,0.082098,0.085895,0.050071,0.060152,0.060152,2882192253
2019-08-01,0.060160,0.060288,0.043396,0.044990,0.044990,1604194409
2019-09-01,0.044952,0.054921,0.035643,0.038885,0.038885,1997271767
2019-10-01,0.038886,0.044553,0.035786,0.041636,0.041636,1711709811
2019-11-01,0.041645,0.046652,0.033336,0.040425,0.040425,2066915883
2019-12-01,0.040426,0.040426,0.030885,0.032845,0.032845,1113717135
2020-01-01,0.032832,0.057302,0.032448,0.053793,0.053793,2395824095
2020-02-01,0.053836,0.072070,0.046511,0.047541,0.047541,4811864912
2020-03-01,0.047506,0.052307,0.019130,0.030553,0.030553,3151735350
2020-04-01,0.030553,0.054257,0.029555,0.047846,0.047846,3214765124
2020-05-01,0.047826,0.086029,0.045003,0.074352,0.074352,6605129771
2020-06-01,0.074244,0.090089,0.069770,0.083116,0.083116,8447642212
2020-07-01,0.083112,0.153705,0.082533,0.138798,0.138798,12815245743
2020-08-01,0.138798,0.152014,0.104409,0.122688,0.122688,11213878959
2020-09-01,0.122610,0.127359,0.076059,0.101146,0.101146,17388636644
2020-10-01,0.101202,0.112414,0.090105,0.093056,0.093056,19153658951
2020-11-01,0.093056,0.182066,0.088048,0.171308,0.171308,33187119844
2020-12-01,0.171367,0.196170,0.127420,0.181397,0.181397,36178893705
2021-01-01,0.181382,0.395653,0.169233,0.344898,0.344898,104785114023
2021-02-01,0.344817,1.476653,0.334194,1.308059,1.308059,242699671996
2021-03-01,1.309792,1.473155,0.993052,1.193264,1.193264,167521776104
2021-04-01,1.193553,1.557761,0.935227,1.352449,1.352449,126250958948
2021-05-01,1.352431,1.745329,1.258929,1.653453,1.653453,32566900875
2021-05-10,1.776156,1.815699,1.729035,1.766145,1.766145,7102680064
